run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"tilt",25,30,20,35,15,40,10,45,5,50,55,60,65,70,75,80,85,90
"POA",8.70431e+08,8.70126e+08,8.64161e+08,8.63339e+08,8.51314e+08,8.50167e+08,8.31988e+08,8.31032e+08,8.06403e+08,8.05872e+08,7.74649e+08,7.37551e+08,6.95253e+08,6.4809e+08,5.96804e+08,5.41415e+08,4.82833e+08,4.22345e+08
