"Time stamp,""Irradiance GHI calculated | (W/m2)""";;;;MONTH;DATE;TIME;VALUES GHI;;;;MONTH;DATE;TIME;VALUES GHI;;;;;
Jan 1, 12:00 am,0;;Jan 1;;Jan;1;12:00 am; 0 ;;;;Jan;1;12:00 am; 0 ;;;;;
Jan 1, 01:00 am,0;;Jan 1;;Jan;1;01:00 am; 0 ;;;;Jan;1;01:00 am; 0 ;;;;Row Labels;Count of VALUES GHI
Jan 1, 02:00 am,0;;Jan 1;;Jan;1;02:00 am; 0 ;;;;Jan;1;02:00 am; 0 ;;;;Jan;744
Jan 1, 03:00 am,0;;Jan 1;;Jan;1;03:00 am; 0 ;;;;Jan;1;03:00 am; 0 ;;;;Feb;672
Jan 1, 04:00 am,0;;Jan 1;;Jan;1;04:00 am; 0 ;;;;Jan;1;04:00 am; 0 ;;;;Mar;744
Jan 1, 05:00 am,0;;Jan 1;;Jan;1;05:00 am; 0 ;;;;Jan;1;05:00 am; 0 ;;;;Apr;720
Jan 1, 06:00 am,0;;Jan 1;;Jan;1;06:00 am; 0 ;;;;Jan;1;06:00 am; 0 ;;;;Jun;720
Jan 1, 07:00 am,0;;Jan 1;;Jan;1;07:00 am; 0 ;;;;Jan;1;07:00 am; 0 ;;;;Jul;744
Jan 1, 08:00 am,0;;Jan 1;;Jan;1;08:00 am; 0 ;;;;Jan;1;08:00 am; 0 ;;;;Aug;744
Jan 1, 09:00 am,4;;Jan 1;;Jan;1;09:00 am; 4 ;;;;Jan;1;09:00 am; 4 ;;;;Sep;720
Jan 1, 10:00 am,5;;Jan 1;;Jan;1;10:00 am; 5 ;;;;Jan;1;10:00 am; 5 ;;;;Nov;720
Jan 1, 11:00 am,3;;Jan 1;;Jan;1;11:00 am; 3 ;;;;Jan;1;11:00 am; 3 ;;;;Dec;744
Jan 1, 12:00 pm,4;;Jan 1;;Jan;1;12:00 pm; 4 ;;;;Jan;1;12:00 pm; 4 ;;;;May;744
Jan 1, 01:00 pm,3;;Jan 1;;Jan;1;01:00 pm; 3 ;;;;Jan;1;01:00 pm; 3 ;;;;Oct;744
Jan 1, 02:00 pm,6;;Jan 1;;Jan;1;02:00 pm; 6 ;;;;Jan;1;02:00 pm; 6 ;;;;Grand Total;8760
Jan 1, 03:00 pm,4;;Jan 1;;Jan;1;03:00 pm; 4 ;;;;Jan;1;03:00 pm; 4 ;;;;;
Jan 1, 04:00 pm,0;;Jan 1;;Jan;1;04:00 pm; 0 ;;;;Jan;1;04:00 pm; 0 ;;;;;
Jan 1, 05:00 pm,0;;Jan 1;;Jan;1;05:00 pm; 0 ;;;;Jan;1;05:00 pm; 0 ;;;;;
Jan 1, 06:00 pm,0;;Jan 1;;Jan;1;06:00 pm; 0 ;;;;Jan;1;06:00 pm; 0 ;;;;;
Jan 1, 07:00 pm,0;;Jan 1;;Jan;1;07:00 pm; 0 ;;;;Jan;1;07:00 pm; 0 ;;;;;
Jan 1, 08:00 pm,0;;Jan 1;;Jan;1;08:00 pm; 0 ;;;;Jan;1;08:00 pm; 0 ;;;;;
Jan 1, 09:00 pm,0;;Jan 1;;Jan;1;09:00 pm; 0 ;;;;Jan;1;09:00 pm; 0 ;;;;;
Jan 1, 10:00 pm,0;;Jan 1;;Jan;1;10:00 pm; 0 ;;;;Jan;1;10:00 pm; 0 ;;;;;
Jan 1, 11:00 pm,0;;Jan 1;;Jan;1;11:00 pm; 0 ;;;;Jan;1;11:00 pm; 0 ;;;;;
Jan 2, 12:00 am,0;;Jan 2;;Jan;2;12:00 am; 0 ;;;;Jan;2;12:00 am; 0 ;;;;;
Jan 2, 01:00 am,0;;Jan 2;;Jan;2;01:00 am; 0 ;;;;Jan;2;01:00 am; 0 ;;;;;
Jan 2, 02:00 am,0;;Jan 2;;Jan;2;02:00 am; 0 ;;;;Jan;2;02:00 am; 0 ;;;;;
Jan 2, 03:00 am,0;;Jan 2;;Jan;2;03:00 am; 0 ;;;;Jan;2;03:00 am; 0 ;;;;;
Jan 2, 04:00 am,0;;Jan 2;;Jan;2;04:00 am; 0 ;;;;Jan;2;04:00 am; 0 ;;;;;
Jan 2, 05:00 am,0;;Jan 2;;Jan;2;05:00 am; 0 ;;;;Jan;2;05:00 am; 0 ;;;;;
Jan 2, 06:00 am,0;;Jan 2;;Jan;2;06:00 am; 0 ;;;;Jan;2;06:00 am; 0 ;;;;;
Jan 2, 07:00 am,0;;Jan 2;;Jan;2;07:00 am; 0 ;;;;Jan;2;07:00 am; 0 ;;;;;
Jan 2, 08:00 am,0;;Jan 2;;Jan;2;08:00 am; 0 ;;;;Jan;2;08:00 am; 0 ;;;;;
Jan 2, 09:00 am,4;;Jan 2;;Jan;2;09:00 am; 4 ;;;;Jan;2;09:00 am; 4 ;;;;;
Jan 2, 10:00 am,95.5152;;Jan 2;;Jan;2;10:00 am; 95.5152 ;;;;Jan;2;10:00 am; 95.5152 ;;;;;
Jan 2, 11:00 am,64.181;;Jan 2;;Jan;2;11:00 am; 64.181 ;;;;Jan;2;11:00 am; 64.181 ;;;;;
Jan 2, 12:00 pm,170.601;;Jan 2;;Jan;2;12:00 pm; 170.601 ;;;;Jan;2;12:00 pm; 170.601 ;;;;;
Jan 2, 01:00 pm,151.748;;Jan 2;;Jan;2;01:00 pm; 151.748 ;;;;Jan;2;01:00 pm; 151.748 ;;;;;
Jan 2, 02:00 pm,7;;Jan 2;;Jan;2;02:00 pm; 7 ;;;;Jan;2;02:00 pm; 7 ;;;;;
Jan 2, 03:00 pm,4;;Jan 2;;Jan;2;03:00 pm; 4 ;;;;Jan;2;03:00 pm; 4 ;;;;;
Jan 2, 04:00 pm,0;;Jan 2;;Jan;2;04:00 pm; 0 ;;;;Jan;2;04:00 pm; 0 ;;;;;
Jan 2, 05:00 pm,0;;Jan 2;;Jan;2;05:00 pm; 0 ;;;;Jan;2;05:00 pm; 0 ;;;;;
Jan 2, 06:00 pm,0;;Jan 2;;Jan;2;06:00 pm; 0 ;;;;Jan;2;06:00 pm; 0 ;;;;;
Jan 2, 07:00 pm,0;;Jan 2;;Jan;2;07:00 pm; 0 ;;;;Jan;2;07:00 pm; 0 ;;;;;
Jan 2, 08:00 pm,0;;Jan 2;;Jan;2;08:00 pm; 0 ;;;;Jan;2;08:00 pm; 0 ;;;;;
Jan 2, 09:00 pm,0;;Jan 2;;Jan;2;09:00 pm; 0 ;;;;Jan;2;09:00 pm; 0 ;;;;;
Jan 2, 10:00 pm,0;;Jan 2;;Jan;2;10:00 pm; 0 ;;;;Jan;2;10:00 pm; 0 ;;;;;
Jan 2, 11:00 pm,0;;Jan 2;;Jan;2;11:00 pm; 0 ;;;;Jan;2;11:00 pm; 0 ;;;;;
Jan 3, 12:00 am,0;;Jan 3;;Jan;3;12:00 am; 0 ;;;;Jan;3;12:00 am; 0 ;;;;;
Jan 3, 01:00 am,0;;Jan 3;;Jan;3;01:00 am; 0 ;;;;Jan;3;01:00 am; 0 ;;;;;
Jan 3, 02:00 am,0;;Jan 3;;Jan;3;02:00 am; 0 ;;;;Jan;3;02:00 am; 0 ;;;;;
Jan 3, 03:00 am,0;;Jan 3;;Jan;3;03:00 am; 0 ;;;;Jan;3;03:00 am; 0 ;;;;;
Jan 3, 04:00 am,0;;Jan 3;;Jan;3;04:00 am; 0 ;;;;Jan;3;04:00 am; 0 ;;;;;
Jan 3, 05:00 am,0;;Jan 3;;Jan;3;05:00 am; 0 ;;;;Jan;3;05:00 am; 0 ;;;;;
Jan 3, 06:00 am,0;;Jan 3;;Jan;3;06:00 am; 0 ;;;;Jan;3;06:00 am; 0 ;;;;;
Jan 3, 07:00 am,0;;Jan 3;;Jan;3;07:00 am; 0 ;;;;Jan;3;07:00 am; 0 ;;;;;
Jan 3, 08:00 am,0;;Jan 3;;Jan;3;08:00 am; 0 ;;;;Jan;3;08:00 am; 0 ;;;;;
Jan 3, 09:00 am,5;;Jan 3;;Jan;3;09:00 am; 5 ;;;;Jan;3;09:00 am; 5 ;;;;;
Jan 3, 10:00 am,3;;Jan 3;;Jan;3;10:00 am; 3 ;;;;Jan;3;10:00 am; 3 ;;;;;
Jan 3, 11:00 am,4;;Jan 3;;Jan;3;11:00 am; 4 ;;;;Jan;3;11:00 am; 4 ;;;;;
Jan 3, 12:00 pm,3;;Jan 3;;Jan;3;12:00 pm; 3 ;;;;Jan;3;12:00 pm; 3 ;;;;;
Jan 3, 01:00 pm,20;;Jan 3;;Jan;3;01:00 pm; 20 ;;;;Jan;3;01:00 pm; 20 ;;;;;
Jan 3, 02:00 pm,3;;Jan 3;;Jan;3;02:00 pm; 3 ;;;;Jan;3;02:00 pm; 3 ;;;;;
Jan 3, 03:00 pm,6;;Jan 3;;Jan;3;03:00 pm; 6 ;;;;Jan;3;03:00 pm; 6 ;;;;;
Jan 3, 04:00 pm,0;;Jan 3;;Jan;3;04:00 pm; 0 ;;;;Jan;3;04:00 pm; 0 ;;;;;
Jan 3, 05:00 pm,0;;Jan 3;;Jan;3;05:00 pm; 0 ;;;;Jan;3;05:00 pm; 0 ;;;;;
Jan 3, 06:00 pm,0;;Jan 3;;Jan;3;06:00 pm; 0 ;;;;Jan;3;06:00 pm; 0 ;;;;;
Jan 3, 07:00 pm,0;;Jan 3;;Jan;3;07:00 pm; 0 ;;;;Jan;3;07:00 pm; 0 ;;;;;
Jan 3, 08:00 pm,0;;Jan 3;;Jan;3;08:00 pm; 0 ;;;;Jan;3;08:00 pm; 0 ;;;;;
Jan 3, 09:00 pm,0;;Jan 3;;Jan;3;09:00 pm; 0 ;;;;Jan;3;09:00 pm; 0 ;;;;;
Jan 3, 10:00 pm,0;;Jan 3;;Jan;3;10:00 pm; 0 ;;;;Jan;3;10:00 pm; 0 ;;;;;
Jan 3, 11:00 pm,0;;Jan 3;;Jan;3;11:00 pm; 0 ;;;;Jan;3;11:00 pm; 0 ;;;;;
Jan 4, 12:00 am,0;;Jan 4;;Jan;4;12:00 am; 0 ;;;;Jan;4;12:00 am; 0 ;;;;;
Jan 4, 01:00 am,0;;Jan 4;;Jan;4;01:00 am; 0 ;;;;Jan;4;01:00 am; 0 ;;;;;
Jan 4, 02:00 am,0;;Jan 4;;Jan;4;02:00 am; 0 ;;;;Jan;4;02:00 am; 0 ;;;;;
Jan 4, 03:00 am,0;;Jan 4;;Jan;4;03:00 am; 0 ;;;;Jan;4;03:00 am; 0 ;;;;;
Jan 4, 04:00 am,0;;Jan 4;;Jan;4;04:00 am; 0 ;;;;Jan;4;04:00 am; 0 ;;;;;
Jan 4, 05:00 am,0;;Jan 4;;Jan;4;05:00 am; 0 ;;;;Jan;4;05:00 am; 0 ;;;;;
Jan 4, 06:00 am,0;;Jan 4;;Jan;4;06:00 am; 0 ;;;;Jan;4;06:00 am; 0 ;;;;;
Jan 4, 07:00 am,0;;Jan 4;;Jan;4;07:00 am; 0 ;;;;Jan;4;07:00 am; 0 ;;;;;
Jan 4, 08:00 am,0;;Jan 4;;Jan;4;08:00 am; 0 ;;;;Jan;4;08:00 am; 0 ;;;;;
Jan 4, 09:00 am,22.8555;;Jan 4;;Jan;4;09:00 am; 22.8555 ;;;;Jan;4;09:00 am; 22.8555 ;;;;;
Jan 4, 10:00 am,22;;Jan 4;;Jan;4;10:00 am; 22 ;;;;Jan;4;10:00 am; 22 ;;;;;
Jan 4, 11:00 am,155.023;;Jan 4;;Jan;4;11:00 am; 155.023 ;;;;Jan;4;11:00 am; 155.023 ;;;;;
Jan 4, 12:00 pm,6;;Jan 4;;Jan;4;12:00 pm; 6 ;;;;Jan;4;12:00 pm; 6 ;;;;;
Jan 4, 01:00 pm,162.611;;Jan 4;;Jan;4;01:00 pm; 162.611 ;;;;Jan;4;01:00 pm; 162.611 ;;;;;
Jan 4, 02:00 pm,4;;Jan 4;;Jan;4;02:00 pm; 4 ;;;;Jan;4;02:00 pm; 4 ;;;;;
Jan 4, 03:00 pm,44.595;;Jan 4;;Jan;4;03:00 pm; 44.595 ;;;;Jan;4;03:00 pm; 44.595 ;;;;;
Jan 4, 04:00 pm,0;;Jan 4;;Jan;4;04:00 pm; 0 ;;;;Jan;4;04:00 pm; 0 ;;;;;
Jan 4, 05:00 pm,0;;Jan 4;;Jan;4;05:00 pm; 0 ;;;;Jan;4;05:00 pm; 0 ;;;;;
Jan 4, 06:00 pm,0;;Jan 4;;Jan;4;06:00 pm; 0 ;;;;Jan;4;06:00 pm; 0 ;;;;;
Jan 4, 07:00 pm,0;;Jan 4;;Jan;4;07:00 pm; 0 ;;;;Jan;4;07:00 pm; 0 ;;;;;
Jan 4, 08:00 pm,0;;Jan 4;;Jan;4;08:00 pm; 0 ;;;;Jan;4;08:00 pm; 0 ;;;;;
Jan 4, 09:00 pm,0;;Jan 4;;Jan;4;09:00 pm; 0 ;;;;Jan;4;09:00 pm; 0 ;;;;;
Jan 4, 10:00 pm,0;;Jan 4;;Jan;4;10:00 pm; 0 ;;;;Jan;4;10:00 pm; 0 ;;;;;
Jan 4, 11:00 pm,0;;Jan 4;;Jan;4;11:00 pm; 0 ;;;;Jan;4;11:00 pm; 0 ;;;;;
Jan 5, 12:00 am,0;;Jan 5;;Jan;5;12:00 am; 0 ;;;;Jan;5;12:00 am; 0 ;;;;;
Jan 5, 01:00 am,0;;Jan 5;;Jan;5;01:00 am; 0 ;;;;Jan;5;01:00 am; 0 ;;;;;
Jan 5, 02:00 am,0;;Jan 5;;Jan;5;02:00 am; 0 ;;;;Jan;5;02:00 am; 0 ;;;;;
Jan 5, 03:00 am,0;;Jan 5;;Jan;5;03:00 am; 0 ;;;;Jan;5;03:00 am; 0 ;;;;;
Jan 5, 04:00 am,0;;Jan 5;;Jan;5;04:00 am; 0 ;;;;Jan;5;04:00 am; 0 ;;;;;
Jan 5, 05:00 am,0;;Jan 5;;Jan;5;05:00 am; 0 ;;;;Jan;5;05:00 am; 0 ;;;;;
Jan 5, 06:00 am,0;;Jan 5;;Jan;5;06:00 am; 0 ;;;;Jan;5;06:00 am; 0 ;;;;;
Jan 5, 07:00 am,0;;Jan 5;;Jan;5;07:00 am; 0 ;;;;Jan;5;07:00 am; 0 ;;;;;
Jan 5, 08:00 am,0;;Jan 5;;Jan;5;08:00 am; 0 ;;;;Jan;5;08:00 am; 0 ;;;;;
Jan 5, 09:00 am,3;;Jan 5;;Jan;5;09:00 am; 3 ;;;;Jan;5;09:00 am; 3 ;;;;;
Jan 5, 10:00 am,15;;Jan 5;;Jan;5;10:00 am; 15 ;;;;Jan;5;10:00 am; 15 ;;;;;
Jan 5, 11:00 am,5;;Jan 5;;Jan;5;11:00 am; 5 ;;;;Jan;5;11:00 am; 5 ;;;;;
Jan 5, 12:00 pm,19;;Jan 5;;Jan;5;12:00 pm; 19 ;;;;Jan;5;12:00 pm; 19 ;;;;;
Jan 5, 01:00 pm,46;;Jan 5;;Jan;5;01:00 pm; 46 ;;;;Jan;5;01:00 pm; 46 ;;;;;
Jan 5, 02:00 pm,7;;Jan 5;;Jan;5;02:00 pm; 7 ;;;;Jan;5;02:00 pm; 7 ;;;;;
Jan 5, 03:00 pm,46.6356;;Jan 5;;Jan;5;03:00 pm; 46.6356 ;;;;Jan;5;03:00 pm; 46.6356 ;;;;;
Jan 5, 04:00 pm,0;;Jan 5;;Jan;5;04:00 pm; 0 ;;;;Jan;5;04:00 pm; 0 ;;;;;
Jan 5, 05:00 pm,0;;Jan 5;;Jan;5;05:00 pm; 0 ;;;;Jan;5;05:00 pm; 0 ;;;;;
Jan 5, 06:00 pm,0;;Jan 5;;Jan;5;06:00 pm; 0 ;;;;Jan;5;06:00 pm; 0 ;;;;;
Jan 5, 07:00 pm,0;;Jan 5;;Jan;5;07:00 pm; 0 ;;;;Jan;5;07:00 pm; 0 ;;;;;
Jan 5, 08:00 pm,0;;Jan 5;;Jan;5;08:00 pm; 0 ;;;;Jan;5;08:00 pm; 0 ;;;;;
Jan 5, 09:00 pm,0;;Jan 5;;Jan;5;09:00 pm; 0 ;;;;Jan;5;09:00 pm; 0 ;;;;;
Jan 5, 10:00 pm,0;;Jan 5;;Jan;5;10:00 pm; 0 ;;;;Jan;5;10:00 pm; 0 ;;;;;
Jan 5, 11:00 pm,0;;Jan 5;;Jan;5;11:00 pm; 0 ;;;;Jan;5;11:00 pm; 0 ;;;;;
Jan 6, 12:00 am,0;;Jan 6;;Jan;6;12:00 am; 0 ;;;;Jan;6;12:00 am; 0 ;;;;;
Jan 6, 01:00 am,0;;Jan 6;;Jan;6;01:00 am; 0 ;;;;Jan;6;01:00 am; 0 ;;;;;
Jan 6, 02:00 am,0;;Jan 6;;Jan;6;02:00 am; 0 ;;;;Jan;6;02:00 am; 0 ;;;;;
Jan 6, 03:00 am,0;;Jan 6;;Jan;6;03:00 am; 0 ;;;;Jan;6;03:00 am; 0 ;;;;;
Jan 6, 04:00 am,0;;Jan 6;;Jan;6;04:00 am; 0 ;;;;Jan;6;04:00 am; 0 ;;;;;
Jan 6, 05:00 am,0;;Jan 6;;Jan;6;05:00 am; 0 ;;;;Jan;6;05:00 am; 0 ;;;;;
Jan 6, 06:00 am,0;;Jan 6;;Jan;6;06:00 am; 0 ;;;;Jan;6;06:00 am; 0 ;;;;;
Jan 6, 07:00 am,0;;Jan 6;;Jan;6;07:00 am; 0 ;;;;Jan;6;07:00 am; 0 ;;;;;
Jan 6, 08:00 am,0;;Jan 6;;Jan;6;08:00 am; 0 ;;;;Jan;6;08:00 am; 0 ;;;;;
Jan 6, 09:00 am,4;;Jan 6;;Jan;6;09:00 am; 4 ;;;;Jan;6;09:00 am; 4 ;;;;;
Jan 6, 10:00 am,15;;Jan 6;;Jan;6;10:00 am; 15 ;;;;Jan;6;10:00 am; 15 ;;;;;
Jan 6, 11:00 am,157.193;;Jan 6;;Jan;6;11:00 am; 157.193 ;;;;Jan;6;11:00 am; 157.193 ;;;;;
Jan 6, 12:00 pm,176.888;;Jan 6;;Jan;6;12:00 pm; 176.888 ;;;;Jan;6;12:00 pm; 176.888 ;;;;;
Jan 6, 01:00 pm,29;;Jan 6;;Jan;6;01:00 pm; 29 ;;;;Jan;6;01:00 pm; 29 ;;;;;
Jan 6, 02:00 pm,4;;Jan 6;;Jan;6;02:00 pm; 4 ;;;;Jan;6;02:00 pm; 4 ;;;;;
Jan 6, 03:00 pm,5;;Jan 6;;Jan;6;03:00 pm; 5 ;;;;Jan;6;03:00 pm; 5 ;;;;;
Jan 6, 04:00 pm,0;;Jan 6;;Jan;6;04:00 pm; 0 ;;;;Jan;6;04:00 pm; 0 ;;;;;
Jan 6, 05:00 pm,0;;Jan 6;;Jan;6;05:00 pm; 0 ;;;;Jan;6;05:00 pm; 0 ;;;;;
Jan 6, 06:00 pm,0;;Jan 6;;Jan;6;06:00 pm; 0 ;;;;Jan;6;06:00 pm; 0 ;;;;;
Jan 6, 07:00 pm,0;;Jan 6;;Jan;6;07:00 pm; 0 ;;;;Jan;6;07:00 pm; 0 ;;;;;
Jan 6, 08:00 pm,0;;Jan 6;;Jan;6;08:00 pm; 0 ;;;;Jan;6;08:00 pm; 0 ;;;;;
Jan 6, 09:00 pm,0;;Jan 6;;Jan;6;09:00 pm; 0 ;;;;Jan;6;09:00 pm; 0 ;;;;;
Jan 6, 10:00 pm,0;;Jan 6;;Jan;6;10:00 pm; 0 ;;;;Jan;6;10:00 pm; 0 ;;;;;
Jan 6, 11:00 pm,0;;Jan 6;;Jan;6;11:00 pm; 0 ;;;;Jan;6;11:00 pm; 0 ;;;;;
Jan 7, 12:00 am,0;;Jan 7;;Jan;7;12:00 am; 0 ;;;;Jan;7;12:00 am; 0 ;;;;;
Jan 7, 01:00 am,0;;Jan 7;;Jan;7;01:00 am; 0 ;;;;Jan;7;01:00 am; 0 ;;;;;
Jan 7, 02:00 am,0;;Jan 7;;Jan;7;02:00 am; 0 ;;;;Jan;7;02:00 am; 0 ;;;;;
Jan 7, 03:00 am,0;;Jan 7;;Jan;7;03:00 am; 0 ;;;;Jan;7;03:00 am; 0 ;;;;;
Jan 7, 04:00 am,0;;Jan 7;;Jan;7;04:00 am; 0 ;;;;Jan;7;04:00 am; 0 ;;;;;
Jan 7, 05:00 am,0;;Jan 7;;Jan;7;05:00 am; 0 ;;;;Jan;7;05:00 am; 0 ;;;;;
Jan 7, 06:00 am,0;;Jan 7;;Jan;7;06:00 am; 0 ;;;;Jan;7;06:00 am; 0 ;;;;;
Jan 7, 07:00 am,0;;Jan 7;;Jan;7;07:00 am; 0 ;;;;Jan;7;07:00 am; 0 ;;;;;
Jan 7, 08:00 am,0;;Jan 7;;Jan;7;08:00 am; 0 ;;;;Jan;7;08:00 am; 0 ;;;;;
Jan 7, 09:00 am,3;;Jan 7;;Jan;7;09:00 am; 3 ;;;;Jan;7;09:00 am; 3 ;;;;;
Jan 7, 10:00 am,4;;Jan 7;;Jan;7;10:00 am; 4 ;;;;Jan;7;10:00 am; 4 ;;;;;
Jan 7, 11:00 am,3;;Jan 7;;Jan;7;11:00 am; 3 ;;;;Jan;7;11:00 am; 3 ;;;;;
Jan 7, 12:00 pm,3;;Jan 7;;Jan;7;12:00 pm; 3 ;;;;Jan;7;12:00 pm; 3 ;;;;;
Jan 7, 01:00 pm,3;;Jan 7;;Jan;7;01:00 pm; 3 ;;;;Jan;7;01:00 pm; 3 ;;;;;
Jan 7, 02:00 pm,11;;Jan 7;;Jan;7;02:00 pm; 11 ;;;;Jan;7;02:00 pm; 11 ;;;;;
Jan 7, 03:00 pm,6;;Jan 7;;Jan;7;03:00 pm; 6 ;;;;Jan;7;03:00 pm; 6 ;;;;;
Jan 7, 04:00 pm,0;;Jan 7;;Jan;7;04:00 pm; 0 ;;;;Jan;7;04:00 pm; 0 ;;;;;
Jan 7, 05:00 pm,0;;Jan 7;;Jan;7;05:00 pm; 0 ;;;;Jan;7;05:00 pm; 0 ;;;;;
Jan 7, 06:00 pm,0;;Jan 7;;Jan;7;06:00 pm; 0 ;;;;Jan;7;06:00 pm; 0 ;;;;;
Jan 7, 07:00 pm,0;;Jan 7;;Jan;7;07:00 pm; 0 ;;;;Jan;7;07:00 pm; 0 ;;;;;
Jan 7, 08:00 pm,0;;Jan 7;;Jan;7;08:00 pm; 0 ;;;;Jan;7;08:00 pm; 0 ;;;;;
Jan 7, 09:00 pm,0;;Jan 7;;Jan;7;09:00 pm; 0 ;;;;Jan;7;09:00 pm; 0 ;;;;;
Jan 7, 10:00 pm,0;;Jan 7;;Jan;7;10:00 pm; 0 ;;;;Jan;7;10:00 pm; 0 ;;;;;
Jan 7, 11:00 pm,0;;Jan 7;;Jan;7;11:00 pm; 0 ;;;;Jan;7;11:00 pm; 0 ;;;;;
Jan 8, 12:00 am,0;;Jan 8;;Jan;8;12:00 am; 0 ;;;;Jan;8;12:00 am; 0 ;;;;;
Jan 8, 01:00 am,0;;Jan 8;;Jan;8;01:00 am; 0 ;;;;Jan;8;01:00 am; 0 ;;;;;
Jan 8, 02:00 am,0;;Jan 8;;Jan;8;02:00 am; 0 ;;;;Jan;8;02:00 am; 0 ;;;;;
Jan 8, 03:00 am,0;;Jan 8;;Jan;8;03:00 am; 0 ;;;;Jan;8;03:00 am; 0 ;;;;;
Jan 8, 04:00 am,0;;Jan 8;;Jan;8;04:00 am; 0 ;;;;Jan;8;04:00 am; 0 ;;;;;
Jan 8, 05:00 am,0;;Jan 8;;Jan;8;05:00 am; 0 ;;;;Jan;8;05:00 am; 0 ;;;;;
Jan 8, 06:00 am,0;;Jan 8;;Jan;8;06:00 am; 0 ;;;;Jan;8;06:00 am; 0 ;;;;;
Jan 8, 07:00 am,0;;Jan 8;;Jan;8;07:00 am; 0 ;;;;Jan;8;07:00 am; 0 ;;;;;
Jan 8, 08:00 am,0;;Jan 8;;Jan;8;08:00 am; 0 ;;;;Jan;8;08:00 am; 0 ;;;;;
Jan 8, 09:00 am,3;;Jan 8;;Jan;8;09:00 am; 3 ;;;;Jan;8;09:00 am; 3 ;;;;;
Jan 8, 10:00 am,5;;Jan 8;;Jan;8;10:00 am; 5 ;;;;Jan;8;10:00 am; 5 ;;;;;
Jan 8, 11:00 am,31;;Jan 8;;Jan;8;11:00 am; 31 ;;;;Jan;8;11:00 am; 31 ;;;;;
Jan 8, 12:00 pm,6;;Jan 8;;Jan;8;12:00 pm; 6 ;;;;Jan;8;12:00 pm; 6 ;;;;;
Jan 8, 01:00 pm,6;;Jan 8;;Jan;8;01:00 pm; 6 ;;;;Jan;8;01:00 pm; 6 ;;;;;
Jan 8, 02:00 pm,4;;Jan 8;;Jan;8;02:00 pm; 4 ;;;;Jan;8;02:00 pm; 4 ;;;;;
Jan 8, 03:00 pm,10;;Jan 8;;Jan;8;03:00 pm; 10 ;;;;Jan;8;03:00 pm; 10 ;;;;;
Jan 8, 04:00 pm,0;;Jan 8;;Jan;8;04:00 pm; 0 ;;;;Jan;8;04:00 pm; 0 ;;;;;
Jan 8, 05:00 pm,0;;Jan 8;;Jan;8;05:00 pm; 0 ;;;;Jan;8;05:00 pm; 0 ;;;;;
Jan 8, 06:00 pm,0;;Jan 8;;Jan;8;06:00 pm; 0 ;;;;Jan;8;06:00 pm; 0 ;;;;;
Jan 8, 07:00 pm,0;;Jan 8;;Jan;8;07:00 pm; 0 ;;;;Jan;8;07:00 pm; 0 ;;;;;
Jan 8, 08:00 pm,0;;Jan 8;;Jan;8;08:00 pm; 0 ;;;;Jan;8;08:00 pm; 0 ;;;;;
Jan 8, 09:00 pm,0;;Jan 8;;Jan;8;09:00 pm; 0 ;;;;Jan;8;09:00 pm; 0 ;;;;;
Jan 8, 10:00 pm,0;;Jan 8;;Jan;8;10:00 pm; 0 ;;;;Jan;8;10:00 pm; 0 ;;;;;
Jan 8, 11:00 pm,0;;Jan 8;;Jan;8;11:00 pm; 0 ;;;;Jan;8;11:00 pm; 0 ;;;;;
Jan 9, 12:00 am,0;;Jan 9;;Jan;9;12:00 am; 0 ;;;;Jan;9;12:00 am; 0 ;;;;;
Jan 9, 01:00 am,0;;Jan 9;;Jan;9;01:00 am; 0 ;;;;Jan;9;01:00 am; 0 ;;;;;
Jan 9, 02:00 am,0;;Jan 9;;Jan;9;02:00 am; 0 ;;;;Jan;9;02:00 am; 0 ;;;;;
Jan 9, 03:00 am,0;;Jan 9;;Jan;9;03:00 am; 0 ;;;;Jan;9;03:00 am; 0 ;;;;;
Jan 9, 04:00 am,0;;Jan 9;;Jan;9;04:00 am; 0 ;;;;Jan;9;04:00 am; 0 ;;;;;
Jan 9, 05:00 am,0;;Jan 9;;Jan;9;05:00 am; 0 ;;;;Jan;9;05:00 am; 0 ;;;;;
Jan 9, 06:00 am,0;;Jan 9;;Jan;9;06:00 am; 0 ;;;;Jan;9;06:00 am; 0 ;;;;;
Jan 9, 07:00 am,0;;Jan 9;;Jan;9;07:00 am; 0 ;;;;Jan;9;07:00 am; 0 ;;;;;
Jan 9, 08:00 am,0;;Jan 9;;Jan;9;08:00 am; 0 ;;;;Jan;9;08:00 am; 0 ;;;;;
Jan 9, 09:00 am,27.6549;;Jan 9;;Jan;9;09:00 am; 27.6549 ;;;;Jan;9;09:00 am; 27.6549 ;;;;;
Jan 9, 10:00 am,6;;Jan 9;;Jan;9;10:00 am; 6 ;;;;Jan;9;10:00 am; 6 ;;;;;
Jan 9, 11:00 am,5;;Jan 9;;Jan;9;11:00 am; 5 ;;;;Jan;9;11:00 am; 5 ;;;;;
Jan 9, 12:00 pm,6;;Jan 9;;Jan;9;12:00 pm; 6 ;;;;Jan;9;12:00 pm; 6 ;;;;;
Jan 9, 01:00 pm,6;;Jan 9;;Jan;9;01:00 pm; 6 ;;;;Jan;9;01:00 pm; 6 ;;;;;
Jan 9, 02:00 pm,5;;Jan 9;;Jan;9;02:00 pm; 5 ;;;;Jan;9;02:00 pm; 5 ;;;;;
